"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","vzRMeAg4Oi8__kl-trunc-name","rllt__details 4","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","YQ4gaf src","gqguwf"
"צלם בר מצווה בכותל","אין ביקורות · שירות צילום","","","ירושלים ·","053-624-7209","https://www.jerusalemklezmer.com/photography-services-at-the-western-wall/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","צלם בר מצווה בכותל","פתוח ⋅ ייסגר בשעה 19:00","","","",""
"מגנטים","· צלם","5.0","(1)","מעל 5 שנות פעילות · ירושלים","","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","מגנטים","פתוח 24 שעות","5.0","(1)","",""
"Igor Farberov Photogrphy","אין ביקורות · צלם","","","מעל 7 שנות פעילות · ירושלים ·","054-636-2410","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","Igor Farberov Photogrphy","פתוח ⋅ ייסגר בשעה 22:00","","","",""
"אלי ברקו צלם","אין ביקורות · צלם חתונות","","","מעל 3 שנות פעילות · ירושלים ·","054-250-8748","https://eliberko.pixieset.com/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","אלי ברקו צלם","פתוח ⋅ ייסגר בשעה 20:00","","","",""
"מאורסים מאורסות - ארגון חתונה","· מתכנן חתונות","5.0","(18)","מעל 10 שנות פעילות · ראשון לציון ·","077-230-5000","http://engaged.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","מאורסים מאורסות - ארגון חתונה","המקום סגור","5.0","(18)","https://www.gstatic.com/images/icons/material/system/2x/public_googblue_24dp.png","באתר של העסק יש אזכור של"
"סטורי - צילום אירועים","· סטודיו לצילום","4.3","(3)","מעל 3 שנות פעילות · ברור חיל ·","052-330-2672","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","סטורי - צילום אירועים","פתוח 24 שעות","4.3","(3)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""בית עסק לצילום אירועים."""
"אלימלך - צילום אירועים","· צלם","3.0","(2)","מעל 7 שנות פעילות · אשדוד ·","08-865-6595","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","אלימלך - צילום אירועים","","3.0","(2)","",""
"צילומי ניו בורן| צילומי הריון-שמרית חן סטודיו לצילום","· סטודיו לצילום דיוקנאות","5.0","(201)","מעל 5 שנות פעילות · יבנה ·","054-247-8730","https://shimrit-chen.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","צילומי ניו בורן| צילומי הריון-שמרית חן סטודיו לצילום","פתוח 24 שעות","5.0","(201)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:"
"גרין - צילום, הפקות ואירועים בע""מ","· צלם","4.2","(5)","מעל 10 שנות פעילות ·","054-259-5244","","","","","","","","","",""
"פייגי צילום אירועים","· צלם חתונות","2.3","(12)","מעל 3 שנות פעילות · בני ברק ·","03-570-0290","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","פייגי צילום אירועים","המקום סגור","2.3","(12)","",""
"תהילה משכן","צלם","","","ירושלים","","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjmlvSI2ND8AhWX91EKHfJ_B1EYABAHGgJ3cw&ohost=www.google.com&cid=CAESbeD2Wgr6xFpVl1lfWsLQtHlLZa22BhNrpnf1nYmqnNprAQXbGjcYHC5zQm-eBOwFDglSVGXehWrCfCvmk36psMZ8EAwbVm69BERy5XEbVGuQk7UPze8yapm9Vb9_EWKhj-FpUO0fJOGF2SXnYGk&sig=AOD64_1r2jSSiEQxdRnCDA31WzIWV-A0pg&q=&ctype=99&ved=2ahUKEwiTle2I2ND8AhUrQvEDHXwVAzs4oAEQhKwBegQIARAQ&adurl=","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","שרון גבאי - צלם","· צלם","","","",""
"לוק צלמים","· צלם חתונות","5.0","(3)","מעל 10 שנות פעילות · רמת השרון ·","053-220-2225","http://lookzalamim.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","לוק צלמים","פתוח ⋅ ייסגר בשעה 22:00","5.0","(3)","",""
"סטודיו גברא בית ספר לצילום","· סטודיו לצילום","4.9","(60)","תל אביב-יפו ·","03-528-5105","http://studiogavra.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","סטודיו גברא בית ספר לצילום","פתוח ⋅ ייסגר בשעה 19:00","4.9","(60)","https://www.gstatic.com/images/icons/material/system/2x/public_googblue_24dp.png","באתר של העסק יש אזכור של"
"אפי שמח - צילום אירועים","· צלם חתונות","5.0","(2)","מעל 10 שנות פעילות · תל אביב-יפו ·","052-401-1777","http://efi.mitchatnim.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","אפי שמח - צילום אירועים","פתוח ⋅ ייסגר בשעה 2:00","5.0","(2)","",""
"אביר צילום אירועים","· צלם חתונות","5.0","(2)","מעל 10 שנות פעילות · תל אביב-יפו ·","054-247-1240","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","אביר צילום אירועים","פתוח ⋅ ייסגר בשעה 23:30","5.0","(2)","",""
"ליאור צלמים","· סטודיו לצילום","4.5","(17)","מעל 3 שנות פעילות · קריית ביאליק ·","050-871-8111","https://cartisdigitali.com/liorphotographer/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","ליאור צלמים","פתוח 24 שעות","4.5","(17)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:"
"ק.א צילום אירועים","· סטודיו לצילום","5.0","(4)","מעל 5 שנות פעילות ·","050-333-8219","http://lm.facebook.com/l.php?u=http%3A%2F%2Ffb.me%2Forelprot&h=ATPBjvXWcTy8ECw5DmY3FHR3Q7ZwAElBVB0U0xKZ5L4D0Ly6wHqnKktmgWuambsYv6Q4jMFcF8-Xa7g1vWCGtHHn7QdgfC7kfZO00BXQMzNOddMfdOCX1-CqMwovm2JOLqACXO5Y&s=1","אתר","","","","פתוח ⋅ ייסגר בשעה 20:15","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""ללא ספק הבחירה מס 1 שלי"""
"LaVie Photography - לביא צילום | צילום אירועים | מגנטים לאירועים | סטודיו","· צלם","5.0","(7)","מעל 5 שנות פעילות · עכו ·","050-944-1919","http://www.laviephoto.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","LaVie Photography - לביא צילום | צילום אירועים | מגנטים לאירועים | סטודיו","פתוח 24 שעות","5.0","(7)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אבי צלם מעולה, התמונות יצאו באיכות מצויינת והאורחים היו ממש מרוצים."""
"פוטו שטיינברג - צלם אירועים, חתונות, בר מצוות, בריתות","· צלם","5.0","(3)","פתוח 24 שעות","050-221-6278","http://www.michael-shteinberg.co.il/","אתר","","","","","","","",""
"אלי ראול","· צלם חתונות","5.0","(4)","מעל 5 שנות פעילות · תל אביב-יפו ·","052-699-0045","http://www.eliraul.com/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","אלי ראול","פתוח 24 שעות","5.0","(4)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אוהבים המון,
טל ותמיר"""
"צילומי תדמית - סטודיו פלורין קאלין","· צלם","5.0","(30)","מעל 3 שנות פעילות · הוד השרון ·","054-456-8687","https://florincalin.com/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","צילומי תדמית - סטודיו פלורין קאלין","פתוח 24 שעות","5.0","(30)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""פלורין צלם מקצועי ובן אדם מקסים."""
"חנה'לה- צילומי ניובורן, הריון, ילדים ומשפחה","אין ביקורות · צלם","","","מעל 3 שנות פעילות · ירושלים ·","052-433-4004","https://photography-studio-2024.business.site/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","חנה'לה- צילומי ניובורן, הריון, ילדים ומשפחה","פתוח ⋅ ייסגר בשעה 19:00","","","",""
"יקיר אביב צילום אירועים","· צלם","5.0","(1)","מעל 5 שנות פעילות · כפר הרי""ף ·","050-592-1993","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","יקיר אביב צילום אירועים","פתוח ⋅ ייסגר בשעה 22:00","5.0","(1)","",""
"צוות צלמים","· צלם חתונות","5.0","(1)","מעל 7 שנות פעילות · מגשימים","","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","צוות צלמים","פתוח ⋅ ייסגר בשעה 20:00","5.0","(1)","",""
"מתחתנים למען מתחתנים","· מתכנן חתונות","3.9","(35)","מעל 7 שנות פעילות · תל אביב-יפו ·","03-919-5955","https://www.mit4mit.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","מתחתנים למען מתחתנים","פתוח 24 שעות","3.9","(35)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""אני רוצה להודות באופן אישי למנהל האתר הזה."""
"אלון מלכה - צילום אירועים","· צלם","5.0","(1)","פתח תקווה ·","050-528-3357","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","אלון מלכה - צילום אירועים","","5.0","(1)","",""
"photo ariel-פוטו אריאל","· חנות צילום","4.5","(168)","ירושלים ·","02-583-2664","http://photoariel.zapweb.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","photo ariel-פוטו אריאל","פתוח ⋅ ייסגר בשעה 18:30","4.5","(168)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:"
"צלם לבר מצווה","· צלם","5.0","(10)","מעל 3 שנות פעילות ·","054-233-0001","http://www.vladimir-austin.com/barmizvah/","אתר","","","","פתוח 24 שעות","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""צילומים ברמה מקצועית!!"""
"ק.א צילום אירועים","· צלם","5.0","(1)","מעל 10 שנות פעילות · רחובות ·","050-333-8219","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","ק.א צילום אירועים","פתוח ⋅ ייסגר בשעה 22:00","5.0","(1)","",""
"מברוקU4 צילום אירועים","· שירות צילום","3.0","(2)","מעל 7 שנות פעילות · חולון ·","052-489-8688","http://www.mabruk4u.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","מברוקU4 צילום אירועים","פתוח ⋅ ייסגר בשעה 23:00","3.0","(2)","",""
"רן ברגמן Ran Bergman","· צלם","5.0","(5)","מעל 5 שנות פעילות · משמרת ·","052-636-0063","http://www.ranbergman.com/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","רן ברגמן Ran Bergman","פתוח ⋅ ייסגר בשעה 22:00","5.0","(5)","",""
"תהילה משכן","צלם","","","ירושלים","","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjmqZCK2ND8AhVN2dUKHZ69BEUYABAHGgJ3cw&ohost=www.google.com&cid=CAESbeD2Dxl5T5RoJtCOxx6mWVtNAqMBr7086iR6t-iYG_GOeGMJDchv3lcraUoMtv8-Bca-uFoDaJowRtHjZDNzK498yAA49PgCYJXYAo6EnG3r3tGk78UcsDH9v_Um0QUCeiCcuxxs4p_77McTQjk&sig=AOD64_3Y51v8kZAVsGm2tpB_BaVsqN_tLA&q=&ctype=99&ved=2ahUKEwjs1ImK2ND8AhVQX_EDHWEoD6I4tAEQhKwBegQIFRAQ&adurl=","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","סטודיו צילום אופנה ליאור קסון","· סטודיו לצילום","","","",""
"קלוד צילום","· שירות צילום","5.0","(7)","פתוח 24 שעות","052-348-1288","https://photo-klod.net/","אתר","","","","","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:"
"בני אטיאס צלם - אירועים ואמנות","· צלם","5.0","(4)","מעל 3 שנות פעילות ·","054-871-3671","https://beniat16.wixsite.com/mysite","אתר","","","","המקום סגור","","","",""
"יהודה בן לולו צילום ארועים","· צלם חתונות","4.2","(5)","מעל 5 שנות פעילות · חיפה ·","052-252-0330","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","יהודה בן לולו צילום ארועים","","4.2","(5)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""באמת אין מילים, והאיכות של התמונות פצצה,
נתראה באירועים הבאים!"""
"סטודיו לצילום ענת אורן","· סטודיו לצילום","5.0","(3)","מעל 3 שנות פעילות · קרית ענבים ·","050-735-0471","https://familyphoto02.wixsite.com/anatoren","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","סטודיו לצילום ענת אורן","","5.0","(3)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""צלמת מדימה, מקצועית ברמה גבוהה, נעימה וסבלנית."""
"ולדימיר אוסטין - צלם אומנותי","·","5.0","(87)","מעל 10 שנות פעילות ·","Commercial photographer","https://www.vladimir-austin.com/","אתר","","","","פתוח 24 שעות","","","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:"
"EDstudio - צילום חתונה","· צלם חתונות","5.0","(4)","מעל 3 שנות פעילות · נתניה ·","052-359-4731","http://www.edstudio.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","EDstudio - צילום חתונה","פתוח 24 שעות","5.0","(4)","",""
