"vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","rllt__details 4","BI0Dve"
"שימי אוחיון | די ג'יי לחתונה | תקליטן לחתונה","5.0","(22)","שימי אוחיון | די ג'יי לחתונה | תקליטן לחתונה","· תקליטן","5.0","(22)","מעל 20 שנות פעילות · ראשון לציון ·","050-600-0353","http://www.klamos.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות","אין קבלת קהל במקום"
"","","","","","","","","","","","","","",""
"Moshiko Stern - מושיקו שטרן","5.0","(76)","Moshiko Stern - מושיקו שטרן","· תקליטן","5.0","(76)","Rishon le zion","פתוח 24 שעות","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj9nv6h_9D8AhX_kGgJHXNQDMEYABAHGgJ3Zg&ohost=www.google.com&cid=CAESbeD25aYPDbJD3R8bk1WEoLRCZfxRDBcJwh1UvlxrfHTuPve3yS_e9PlKKogxZ5ELFBVADttVxWtf8KCUz37ly7KRhuyuNNR7qb-VumKl85YiH50MSAhAXOm05ulGuvnXuX5sUKVStN4383jfrKA&sig=AOD64_39EqXfDp-Vze_fTtHd-t3-HY3_fw&q=&ctype=99&ved=2ahUKEwjKkvah_9D8AhU2cfEDHV25BUA4FBCErAF6BAgBEBQ&adurl=","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","Musician",""
"Mayo music : By Dj Shimi Green","5.0","(88)","Mayo music : By Dj Shimi Green","· תקליטן","5.0","(88)","מעל 10 שנות פעילות · תל אביב-יפו ·","054-463-1737","http://mayomusic.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"עידו קשת","5.0","(32)","עידו קשת","· תקליטן","5.0","(32)","רמת גן ·","054-631-5303","https://www.mit4mit.co.il/biz/98935","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"די ג'י מוטי וקנין","5.0","(20)","די ג'י מוטי וקנין","· תקליטן","5.0","(20)","מעל 3 שנות פעילות · רחובות ·","052-382-6699","https://www.moti-vaknin.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","",""
"רן זיו","5.0","(67)","רן זיו","· תקליטן","5.0","(67)","מעל 15 שנות פעילות · תל אביב-יפו ·","052-387-4177","https://djranziv.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"סמפל דיג'יי / תקליטן לחתונה / דיג'יי לחתונה","5.0","(13)","סמפל דיג'יי / תקליטן לחתונה / דיג'יי לחתונה","· תקליטן","5.0","(13)","מעל 3 שנות פעילות · חולון ·","072-338-5883","http://www.dj4events.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","",""
"תקליטן דתי-dj יוסי חן החתונות המטורפות בישראל","5.0","(20)","תקליטן דתי-dj יוסי חן החתונות המטורפות בישראל","· תקליטן","5.0","(20)","בני ברק ·","053-526-2596","https://dj-yossi-hen.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 0:00",""
"ליאור וסאונד DJ | תקליטן לאירועים | די ג'י ליאור לבת מצווה","4.8","(41)","ליאור וסאונד DJ | תקליטן לאירועים | די ג'י ליאור לבת מצווה","· תקליטן","4.8","(41)","מעל 20 שנות פעילות · קדימה צורן ·","050-766-3480","http://www.djlior.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","","פגישות אונליין"
"רזולי - DJ RAZULII - שירותי מוזיקה לחתונות ואירועים פרטיים ועסקיים מס 1 בישראל - תקליטן לחתונה - מוזיקה לאירועים","5.0","(114)","רזולי - DJ RAZULII - שירותי מוזיקה לחתונות ואירועים פרטיים ועסקיים מס 1 בישראל - תקליטן לחתונה - מוזיקה לאירועים","· תקליטן","5.0","(114)","מעל 10 שנות פעילות · תל אביב-יפו ·","052-604-2020","http://itsrazulii.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות","קבלת קהל במקום"
"Omer Ossadon | עומר אוסדון","5.0","(34)","Omer Ossadon | עומר אוסדון","· תקליטן","5.0","(34)","תל אביב-יפו ·","052-450-7985","http://omerossadon.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"SPS תקליטנים","5.0","(32)","SPS תקליטנים","· תקליטן","5.0","(32)","מעל 10 שנות פעילות · בני ברק ·","03-648-1278","https://www.xn--8dbbfdercxm6d6ah.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"ELITA | אליטה","5.0","(46)","ELITA | אליטה","· תקליטן","5.0","(46)","מעל 3 שנות פעילות · תל אביב-יפו ·","073-374-4666","https://www.elitamusic.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 20:00","קבלת קהל במקום"
"ישראל קמחי | Israel Kimchi","4.8","(46)","ישראל קמחי | Israel Kimchi","· תקליטן","4.8","(46)","מעל 7 שנות פעילות · רמת השרון ·","054-322-3223","http://www.israelkimchi.com/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 22:00",""
"עומר כחלון","4.9","(31)","עומר כחלון","· תקליטן","4.9","(31)","מעל 3 שנות פעילות · תל אביב-יפו ·","054-649-6633","http://www.omerkahalon.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"DJ רז מועלמי - מוסיקה לחתונות","5.0","(20)","DJ רז מועלמי - מוסיקה לחתונות","· תקליטן","5.0","(20)","מעל 15 שנות פעילות · חולון ·","052-472-3388","http://www.djrazmoalmi.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות","קבלת קהל במקום"
"אופוריה - מוסיקה לארועים","5.0","(27)","אופוריה - מוסיקה לארועים","· תקליטן","5.0","(27)","מעל 25 שנות פעילות · הרצליה ·","050-258-4518","https://www.oforia.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 23:00","קבלת קהל במקום"
"LEVI DJS | לוי דיג'ייס חתונות וארועי יוקרה","5.0","(16)","LEVI DJS | לוי דיג'ייס חתונות וארועי יוקרה","· תקליטן","5.0","(16)","מעל 20 שנות פעילות · פתח תקווה ·","053-521-7220","https://levidjs.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח ⋅ ייסגר בשעה 21:00","פגישות אונליין"
"","","","תקליטן לחתונות במרכז די ג'יי No-Limit dj","· תקליטן","5.0","(15)","מעל 3 שנות פעילות ·","052-358-6464","https://no-limit.co.il/","אתר","","","פתוח 24 שעות",""
"דיג'יי חן דקל - Dj Chen Dekel","5.0","(11)","דיג'יי חן דקל - Dj Chen Dekel","· תקליטן","5.0","(11)","מעל 3 שנות פעילות · פתח תקווה ·","052-836-5363","https://www.facebook.com/%D7%93%D7%99%D7%92%D7%99%D7%99-%D7%97%D7%9F-%D7%93%D7%A7%D7%9C-Dj-Chen-Dekel-547481068776125/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
"Zebra Music - זברה מוסיקה","5.0","(8)","Zebra Music - זברה מוסיקה","· תקליטן","5.0","(8)","מעל 3 שנות פעילות · רמת גן ·","03-613-2705","http://zebramusic.co.il/","אתר","https://www.google.com/search?q=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXKC4uR8Lbqkbfz3780zNLJnJlwDw%3A1674040506060&ei=utTHY8amA7ickdUPwJKMqAw&ved=0ahUKEwjG68_t_tD8AhU4TqQEHUAJA8UQ4dUDCAk&uact=5&oq=%D7%AA%D7%A7%D7%9C%D7%99%D7%98%D7%A0%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeOgQIIxAnOgYIABAWEB46CwgAEIAEELEDEIMBOggIABCABBCxAzoECAAQAzoICAAQsQMQgwE6BwgAEIAEEApQ2QlY1RRgtRtoAXAAeAGAAcECiAGNE5IBBTItOS4xmAEAoAEBwAEB&sclient=gws-wiz-local#","מסלול","פתוח 24 שעות",""
