mispar_mosah|shem_mosah|cod_sug_mosah|sug_mosah|ktovet|yishuv|telephone|mikud|cod_miktzoa|miktzoa|menahel_miktzoa|rasham_havarot
"8486"|"גבים אחזקות אגש ח בע מ"|"6"|"מוסך מורשה"|"ד.נ חוף אשקלון"|"גבים"|"08-6802265"|"79165"|"194"|"תיקון מלגזות הרמה"|"אושרי חיים"|"570045641"
"8497"|"ביטון אילן בע מ - מוסך"|"6"|"מוסך מורשה"|"עד הלום תד 2580"|"אשדוד"|"08-8557271"|"77124"|"10"|"מכונאות רכב בנזין"|"גולדמן אברהם"|"513617738"
"8497"|"ביטון אילן בע מ - מוסך"|"6"|"מוסך מורשה"|"עד הלום תד 2580"|"אשדוד"|"08-8557271"|"77124"|"20"|"מכונאות רכב דיזל"|"גולדמן אברהם"|"513617738"
"8497"|"ביטון אילן בע מ - מוסך"|"6"|"מוסך מורשה"|"עד הלום תד 2580"|"אשדוד"|"08-8557271"|"77124"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"גולדמן אברהם"|"513617738"
"8497"|"ביטון אילן בע מ - מוסך"|"6"|"מוסך מורשה"|"עד הלום תד 2580"|"אשדוד"|"08-8557271"|"77124"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"גולדמן אברהם"|"513617738"
"8497"|"ביטון אילן בע מ - מוסך"|"6"|"מוסך מורשה"|"עד הלום תד 2580"|"אשדוד"|"08-8557271"|"77124"|"190"|"טרקטורים ומכונות ניידות"|"גולדמן אברהם"|"513617738"
"8497"|"ביטון אילן בע מ - מוסך"|"6"|"מוסך מורשה"|"עד הלום תד 2580"|"אשדוד"|"08-8557271"|"77124"|"194"|"תיקון מלגזות הרמה"|"גולדמן אברהם"|"513617738"
"8499"|"צלנר בע מ"|"6"|"מוסך מורשה"|"מושב עין הבשור"|"עין הבשור"|"08-9982575"|"85405"|"10"|"מכונאות רכב בנזין"|"צלנר דניאל"|"512720533"
"8499"|"צלנר בע מ"|"6"|"מוסך מורשה"|"מושב עין הבשור"|"עין הבשור"|"08-9982575"|"85405"|"20"|"מכונאות רכב דיזל"|"צלנר דניאל"|"512720533"
"8499"|"צלנר בע מ"|"6"|"מוסך מורשה"|"מושב עין הבשור"|"עין הבשור"|"08-9982575"|"85405"|"190"|"טרקטורים ומכונות ניידות"|"צלנר דניאל"|"512720533"
"8499"|"צלנר בע מ"|"6"|"מוסך מורשה"|"מושב עין הבשור"|"עין הבשור"|"08-9982575"|"85405"|"205"|"שירות תיקון למזגן אויר לרכב"|"צלנר דניאל"|"512720533"
"8501"|"רובל משה תיקון רדיאטורים"|"6"|"מוסך מורשה"|"אבן עזרא 2"|"אשקלון"|"08-6750285"|"78593"|"60"|"תיקון רדיאטורים )מצננים)"|"רובל משה"|"009983149"
"8501"|"רובל משה תיקון רדיאטורים"|"6"|"מוסך מורשה"|"אבן עזרא 2"|"אשקלון"|"08-6750285"|"78593"|"81"|"תיקון צנורות פליטה ודודי עמם"|"רובל משה"|"009983149"
"8507"|"מוסך טורבו גת - נגר דוד"|"6"|"מוסך מורשה"|"כסלו  11"|"קריית גת"|"08-6882133"|"82000"|"10"|"מכונאות רכב בנזין"|"נגר דוד"|"067216762"
"8507"|"מוסך טורבו גת - נגר דוד"|"6"|"מוסך מורשה"|"כסלו  11"|"קריית גת"|"08-6882133"|"82000"|"20"|"מכונאות רכב דיזל"|"נגר דוד"|"067216762"
"8507"|"מוסך טורבו גת - נגר דוד"|"6"|"מוסך מורשה"|"כסלו  11"|"קריית גת"|"08-6882133"|"82000"|"180"|"בדיקות-רכב )קניה ומכירה)"|"נגר דוד"|"067216762"
"8507"|"מוסך טורבו גת - נגר דוד"|"6"|"מוסך מורשה"|"כסלו  11"|"קריית גת"|"08-6882133"|"82000"|"191"|"תיקון טרקטורונים"|"נגר דוד"|"067216762"
"8507"|"מוסך טורבו גת - נגר דוד"|"6"|"מוסך מורשה"|"כסלו  11"|"קריית גת"|"08-6882133"|"82000"|"195"|"תיקון וכוון מתלים ברכב"|"נגר דוד"|"067216762"
"8510"|"נמיר מאהר - מוסך נמיר מאהר"|"6"|"מוסך מורשה"|"ניר גלים 1 צ.הנמל אשדוד"|"אשדוד"|"08-86203443"|"77100"|"70"|"תיקון מרכבי רכב"|"חשים פארוק"|"026403493"
"8510"|"נמיר מאהר - מוסך נמיר מאהר"|"6"|"מוסך מורשה"|"ניר גלים 1 צ.הנמל אשדוד"|"אשדוד"|"08-86203443"|"77100"|"100"|"צבעות רכב"|"חשים פארוק"|"026403493"
"8516"|"צמיגי פז ערד בע מ"|"6"|"מוסך מורשה"|"תחנת דלק ת.ד 1412"|"ערד"|"08-9950070"|"80700"|"130"|"תיקון והחלפת צמיגים"|"פרץ משה"|"512069881"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"10"|"מכונאות רכב בנזין"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"20"|"מכונאות רכב דיזל"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"70"|"תיקון מרכבי רכב"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"100"|"צבעות רכב"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"190"|"טרקטורים ומכונות ניידות"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"194"|"תיקון מלגזות הרמה"|"פרץ חיים"|"024398174"
"8518"|"מוסך סופי - פרץ גל"|"6"|"מוסך מורשה"|"הנחלים 1 א.ת ישן"|"שדרות"|"050-5252493"|"80100"|"205"|"שירות תיקון למזגן אויר לרכב"|"פרץ חיים"|"024398174"
"8519"|"א.מ. גלס - ארטיום זלינסקי"|"6"|"מוסך מורשה"|"הנגר 1  ת.ד 5144"|"אילת"|"053-4915136"|"88104"|"120"|"זגגות רכב"|"ארטיום זלינסקי"|"328600804"
"8521"|"ברינדר יואב _ יואב שרותי רכב"|"6"|"מוסך מורשה"|"בית היוצר 8 ת ד 52093"|"ירושלים"|"02-6788899"|"93420"|"10"|"מכונאות רכב בנזין"|"ברינדר יואב"|"056637655"
"8521"|"ברינדר יואב _ יואב שרותי רכב"|"6"|"מוסך מורשה"|"בית היוצר 8 ת ד 52093"|"ירושלים"|"02-6788899"|"93420"|"20"|"מכונאות רכב דיזל"|"ברינדר יואב"|"056637655"
"8528"|"מוסך גד ש  - קיבוץ גבולות"|"6"|"מוסך מורשה"|"קיבוץ גבולות"|"גבולות"|"08-9983113"|"85525"|"10"|"מכונאות רכב בנזין"|"דיאמנט פסח אלי"|"570041095"
"8528"|"מוסך גד ש  - קיבוץ גבולות"|"6"|"מוסך מורשה"|"קיבוץ גבולות"|"גבולות"|"08-9983113"|"85525"|"20"|"מכונאות רכב דיזל"|"דיאמנט פסח אלי"|"570041095"
"8528"|"מוסך גד ש  - קיבוץ גבולות"|"6"|"מוסך מורשה"|"קיבוץ גבולות"|"גבולות"|"08-9983113"|"85525"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"דיאמנט פסח אלי"|"570041095"
"8528"|"מוסך גד ש  - קיבוץ גבולות"|"6"|"מוסך מורשה"|"קיבוץ גבולות"|"גבולות"|"08-9983113"|"85525"|"190"|"טרקטורים ומכונות ניידות"|"דיאמנט פסח אלי"|"570041095"
"8528"|"מוסך גד ש  - קיבוץ גבולות"|"6"|"מוסך מורשה"|"קיבוץ גבולות"|"גבולות"|"08-9983113"|"85525"|"191"|"תיקון טרקטורונים"|"דיאמנט פסח אלי"|"570041095"
"8528"|"מוסך גד ש  - קיבוץ גבולות"|"6"|"מוסך מורשה"|"קיבוץ גבולות"|"גבולות"|"08-9983113"|"85525"|"194"|"תיקון מלגזות הרמה"|"דיאמנט פסח אלי"|"570041095"
"8533"|"חברת החשמל מוסך החברה"|"6"|"מוסך מורשה"|"דרך חברון"|"באר שבע"|"08-6463454"|"84244"|"10"|"מכונאות רכב בנזין"|"זינו דוד"|"520000472"
"8533"|"חברת החשמל מוסך החברה"|"6"|"מוסך מורשה"|"דרך חברון"|"באר שבע"|"08-6463454"|"84244"|"20"|"מכונאות רכב דיזל"|"זינו דוד"|"520000472"
"8539"|"רדיאטור ואגזוזים - אמויאל שמעון"|"6"|"מוסך מורשה"|"המלאכה 51"|"דימונה"|"08-6559792"|"86000"|"60"|"תיקון רדיאטורים )מצננים)"|"אמויאל שמעון"|"027055128"
"8539"|"רדיאטור ואגזוזים - אמויאל שמעון"|"6"|"מוסך מורשה"|"המלאכה 51"|"דימונה"|"08-6559792"|"86000"|"81"|"תיקון צנורות פליטה ודודי עמם"|"אמויאל שמעון"|"027055128"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"10"|"מכונאות רכב בנזין"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"20"|"מכונאות רכב דיזל"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"30"|"חשמלאות רכב"|"פירוז שמחון"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"70"|"תיקון מרכבי רכב"|"בוזגלו מרדכי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"100"|"צבעות רכב"|"בוזגלו מרדכי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"111"|"תחזוקה ובדיקת מערכת כיבוי אש באוטו'"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"190"|"טרקטורים ומכונות ניידות"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"194"|"תיקון מלגזות הרמה"|"קלדרון אלי"|"510920325"
"8542"|"מוסך קלדרון ב ש בע מ"|"6"|"מוסך מורשה"|"הנחושת 14 ת.ד 7022"|"באר שבע"|"08-6282299"|"84845"|"205"|"שירות תיקון למזגן אויר לרכב"|"פירוז שמחון"|"510920325"
"8545"|"עין השלושה מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"עין השלושה"|"08-9985786"|"85128"|"10"|"מכונאות רכב בנזין"|"אזולי יורם"|"570007823"
"8545"|"עין השלושה מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"עין השלושה"|"08-9985786"|"85128"|"20"|"מכונאות רכב דיזל"|"אזולי יורם"|"570007823"
"8545"|"עין השלושה מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"עין השלושה"|"08-9985786"|"85128"|"190"|"טרקטורים ומכונות ניידות"|"אזולי יורם"|"570007823"
"8545"|"עין השלושה מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"עין השלושה"|"08-9985786"|"85128"|"194"|"תיקון מלגזות הרמה"|"אזולאי יורם"|"570007823"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"10"|"מכונאות רכב בנזין"|"פרץ מיכאל"|"514274059"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"20"|"מכונאות רכב דיזל"|"פרץ מיכאל"|"514274059"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"פרץ מיכאל"|"514274059"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"30"|"חשמלאות רכב"|"פרץ מיכאל"|"514274059"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"70"|"תיקון מרכבי רכב"|"קדוש מאיר"|"514274059"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"100"|"צבעות רכב"|"קדוש מאיר"|"514274059"
"8555"|"מוסך אוטו - גת בע מ"|"6"|"מוסך מורשה"|"תמוז 22"|"קריית גת"|"08-6811534"|"82000"|"205"|"שירות תיקון למזגן אויר לרכב"|"פרץ מיכאל"|"514274059"
"8557"|"רדי ליין מוטורס בע מ"|"6"|"מוסך מורשה"|"פנחס החוצב 145 ת.ד.17203"|"באר שבע"|"072-2400497"|"84890"|"10"|"מכונאות רכב בנזין"|"גוזלן דני"|"514440049"
"8557"|"רדי ליין מוטורס בע מ"|"6"|"מוסך מורשה"|"פנחס החוצב 145 ת.ד.17203"|"באר שבע"|"072-2400497"|"84890"|"20"|"מכונאות רכב דיזל"|"גוזלן דני"|"514440049"
"8557"|"רדי ליין מוטורס בע מ"|"6"|"מוסך מורשה"|"פנחס החוצב 145 ת.ד.17203"|"באר שבע"|"072-2400497"|"84890"|"30"|"חשמלאות רכב"|"גוזלן דני"|"514440049"
"8563"|"מוסך מוניטין - חדד אהרון"|"6"|"מוסך מורשה"|"פנחס החוצב 6"|"באר שבע"|"08-6289959"|"84100"|"70"|"תיקון מרכבי רכב"|"חדד אהרון"|"055015317"
"8563"|"מוסך מוניטין - חדד אהרון"|"6"|"מוסך מורשה"|"פנחס החוצב 6"|"באר שבע"|"08-6289959"|"84100"|"100"|"צבעות רכב"|"חדד אהרון"|"055015317"
"8566"|"א.מקור הפחחות וצבע לרכב-מאג'ד"|"6"|"מוסך מורשה"|"פנחס  החוצב 40"|"באר שבע"|"054-2871282"|"84100"|"70"|"תיקון מרכבי רכב"|"אלסייד מאג'ד"|"000000000"
"8566"|"א.מקור הפחחות וצבע לרכב-מאג'ד"|"6"|"מוסך מורשה"|"פנחס  החוצב 40"|"באר שבע"|"054-2871282"|"84100"|"100"|"צבעות רכב"|"אלסייד מאג'ד"|"000000000"
"8573"|"אברהם את שלום - מוסך גלקסי"|"6"|"מוסך מורשה"|"א.תעשיה רח' העמל 15"|"קריית מלאכי"|"054-4324632"|"70900"|"10"|"מכונאות רכב בנזין"|"אברהם יהודה"|"026935650"
"8573"|"אברהם את שלום - מוסך גלקסי"|"6"|"מוסך מורשה"|"א.תעשיה רח' העמל 15"|"קריית מלאכי"|"054-4324632"|"70900"|"20"|"מכונאות רכב דיזל"|"גידה שלום"|"026935650"
"8579"|"שקל אריק - שרותי חשמל"|"6"|"מוסך מורשה"|"האומן 59"|"נתיבות"|"050-4899679"|"80200"|"30"|"חשמלאות רכב"|"שקלו אריה"|"005262787"
"8580"|"אגד חברה לתחבורה בע מ - ג. שאול"|"6"|"מוסך מורשה"|"גבעת שאול הר תבור"|"ירושלים"|"02-6557722"|"95477"|"20"|"מכונאות רכב דיזל"|"איבלב יורי"|"516041118"
"8580"|"אגד חברה לתחבורה בע מ - ג. שאול"|"6"|"מוסך מורשה"|"גבעת שאול הר תבור"|"ירושלים"|"02-6557722"|"95477"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"איבלב יורי"|"516041118"
"8580"|"אגד חברה לתחבורה בע מ - ג. שאול"|"6"|"מוסך מורשה"|"גבעת שאול הר תבור"|"ירושלים"|"02-6557722"|"95477"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"איבלב יורי"|"516041118"
"8580"|"אגד חברה לתחבורה בע מ - ג. שאול"|"6"|"מוסך מורשה"|"גבעת שאול הר תבור"|"ירושלים"|"02-6557722"|"95477"|"30"|"חשמלאות רכב"|"איבלב יורי"|"516041118"
"8580"|"אגד חברה לתחבורה בע מ - ג. שאול"|"6"|"מוסך מורשה"|"גבעת שאול הר תבור"|"ירושלים"|"02-6557722"|"95477"|"205"|"שירות תיקון למזגן אויר לרכב"|"איבלב יורי"|"516041118"
"8580"|"אגד חברה לתחבורה בע מ - ג. שאול"|"6"|"מוסך מורשה"|"גבעת שאול הר תבור"|"ירושלים"|"02-6557722"|"95477"|"207"|"תיקון וכיול טכוגרפים"|"אלמוג יאיר"|"516041118"
"8581"|"אשרף אחמד חשמל רכב אשרף"|"6"|"מוסך מורשה"|"ואדי אל אגוז 76 ת.ד 54960"|"ירושלים"|"052-8443267"|"97400"|"30"|"חשמלאות רכב"|"אחמד אשרף"|"029849551"
"8581"|"אשרף אחמד חשמל רכב אשרף"|"6"|"מוסך מורשה"|"ואדי אל אגוז 76 ת.ד 54960"|"ירושלים"|"052-8443267"|"97400"|"205"|"שירות תיקון למזגן אויר לרכב"|"אחמד אשרף"|"029849551"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"15"|"אוטוטק רכב קל"|"גוניקמן אלכסנדר"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"20"|"מכונאות רכב דיזל"|"גוניקמן אלכסנדר"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"גוניקמן אלכסנדר"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"130"|"תיקון והחלפת צמיגים"|"ליבנה דניאל"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"173"|"אישור כשירות לצמ ה ומכונה ניידת"|"גוניקמן אלכסנדר"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"190"|"טרקטורים ומכונות ניידות"|"גוניקמן אלכסנדר"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"194"|"תיקון מלגזות הרמה"|"גוניקמן אלכסנדר"|"570011700"
"8588"|"שדה בוקר מוסך הקבוץ"|"6"|"מוסך מורשה"|"קיבוץ שדה בוקר"|"שדה בוקר"|"08-6560128"|"84993"|"205"|"שירות תיקון למזגן אויר לרכב"|"גוניקמן אלכסנדר"|"570011700"
"8591"|"מוסך אריה - אלוש אריה"|"6"|"מוסך מורשה"|"הדקל 8  דרך חברון"|"באר שבע"|"08-6278777"|"84890"|"10"|"מכונאות רכב בנזין"|"בינדר וולף"|"063054084"
"8591"|"מוסך אריה - אלוש אריה"|"6"|"מוסך מורשה"|"הדקל 8  דרך חברון"|"באר שבע"|"08-6278777"|"84890"|"20"|"מכונאות רכב דיזל"|"בינדר וולף"|"063054084"
"8599"|"מסגריית אקספרס בע מ"|"6"|"מוסך מורשה"|"הבדיל 29 ת.ד. 2138"|"באר שבע"|"08-6272913"|"84105"|"80"|"מסגרות רכב )תיקון ארגזים)"|"אלי שלי"|"512433327"
"8600"|"מוסך הקיבוץ חצרים"|"6"|"מוסך מורשה"|"ד.נ הנגב חצרים"|"חצרים"|"08-6473322"|"85505"|"10"|"מכונאות רכב בנזין"|"שטוטמן שמואל"|"570006239"
"8600"|"מוסך הקיבוץ חצרים"|"6"|"מוסך מורשה"|"ד.נ הנגב חצרים"|"חצרים"|"08-6473322"|"85505"|"20"|"מכונאות רכב דיזל"|"שטוטמן שמואל"|"570006239"
"8600"|"מוסך הקיבוץ חצרים"|"6"|"מוסך מורשה"|"ד.נ הנגב חצרים"|"חצרים"|"08-6473322"|"85505"|"130"|"תיקון והחלפת צמיגים"|"שטוטמן שמואל"|"570006239"
"8600"|"מוסך הקיבוץ חצרים"|"6"|"מוסך מורשה"|"ד.נ הנגב חצרים"|"חצרים"|"08-6473322"|"85505"|"190"|"טרקטורים ומכונות ניידות"|"שטוטמן שמואל"|"570006239"
"8600"|"מוסך הקיבוץ חצרים"|"6"|"מוסך מורשה"|"ד.נ הנגב חצרים"|"חצרים"|"08-6473322"|"85505"|"191"|"תיקון טרקטורונים"|"שטוטמן שמואל"|"570006239"
"8600"|"מוסך הקיבוץ חצרים"|"6"|"מוסך מורשה"|"ד.נ הנגב חצרים"|"חצרים"|"08-6473322"|"85505"|"194"|"תיקון מלגזות הרמה"|"שטוטמן שמואל"|"570006239"
"8602"|"דוידיאן את אוריאל _ מוסך אופק"|"6"|"מוסך מורשה"|"תלפיות יד חרוצים 14"|"ירושלים"|"02-6715076"|"93420"|"10"|"מכונאות רכב בנזין"|"דוידיאן שלום"|"053662771"
"8602"|"דוידיאן את אוריאל _ מוסך אופק"|"6"|"מוסך מורשה"|"תלפיות יד חרוצים 14"|"ירושלים"|"02-6715076"|"93420"|"20"|"מכונאות רכב דיזל"|"מרטינוטי אוריאל"|"053662771"
"8605"|"כלמוביל בע מ"|"6"|"מוסך מורשה"|"אזור תעשיה הצפוני רח' היוזמה"|"אשדוד"|"08-8518555"|"77100"|"30"|"חשמלאות רכב"|"אמסלם אילן"|"510242670"
"8605"|"כלמוביל בע מ"|"6"|"מוסך מורשה"|"אזור תעשיה הצפוני רח' היוזמה"|"אשדוד"|"08-8518555"|"77100"|"188"|"רישום ורישוי לרכב חדש"|"יוסף יהושע"|"510242670"
"8613"|"מוסך דודו כהן (2009) בע מ"|"6"|"מוסך מורשה"|"תלפיות יד חרוצים 14"|"ירושלים"|"02-5379995"|"93420"|"70"|"תיקון מרכבי רכב"|"כהן דוד"|"514332600"
"8613"|"מוסך דודו כהן (2009) בע מ"|"6"|"מוסך מורשה"|"תלפיות יד חרוצים 14"|"ירושלים"|"02-5379995"|"93420"|"100"|"צבעות רכב"|"כהן דוד"|"514332600"
"8614"|"מוסך הניצוץ אילת - קבלן ברוך"|"6"|"מוסך מורשה"|"יוזמה 4 ת.ד 203"|"אילת"|"052-8990055"|"0"|"10"|"מכונאות רכב בנזין"|"קבלו ברוך"|"057715708"
"8614"|"מוסך הניצוץ אילת - קבלן ברוך"|"6"|"מוסך מורשה"|"יוזמה 4 ת.ד 203"|"אילת"|"052-8990055"|"0"|"20"|"מכונאות רכב דיזל"|"קבלו ברוך"|"057715708"
"8614"|"מוסך הניצוץ אילת - קבלן ברוך"|"6"|"מוסך מורשה"|"יוזמה 4 ת.ד 203"|"אילת"|"052-8990055"|"0"|"30"|"חשמלאות רכב"|"קבלו ברוך"|"057715708"
"8614"|"מוסך הניצוץ אילת - קבלן ברוך"|"6"|"מוסך מורשה"|"יוזמה 4 ת.ד 203"|"אילת"|"052-8990055"|"0"|"81"|"תיקון צנורות פליטה ודודי עמם"|"קבלו ברוך"|"057715708"
"8618"|"צמיגי פאר - חנוך את מרדכי"|"6"|"מוסך מורשה"|"אפיקים בנגב 1"|"אופקים"|"08-9925283"|"80300"|"130"|"תיקון והחלפת צמיגים"|"צפרירי חנוך"|"023794852"
"8618"|"צמיגי פאר - חנוך את מרדכי"|"6"|"מוסך מורשה"|"אפיקים בנגב 1"|"אופקים"|"08-9925283"|"80300"|"195"|"תיקון וכוון מתלים ברכב"|"צפרירי חנוך"|"023794852"
"8620"|"הסעות ומוסך אחים אדם"|"6"|"מוסך מורשה"|"פנחס החוצב 138 ת ד 10319"|"באר שבע"|"050-8721143"|"84890"|"10"|"מכונאות רכב בנזין"|"נבארי קמאל"|"026426247"
"8620"|"הסעות ומוסך אחים אדם"|"6"|"מוסך מורשה"|"פנחס החוצב 138 ת ד 10319"|"באר שבע"|"050-8721143"|"84890"|"20"|"מכונאות רכב דיזל"|"נבארי קמאל"|"026426247"
"8620"|"הסעות ומוסך אחים אדם"|"6"|"מוסך מורשה"|"פנחס החוצב 138 ת ד 10319"|"באר שבע"|"050-8721143"|"84890"|"21"|"מכונאות דיזל משאיות ואוטובוסים"|"נבארי קמאל"|"026426247"
"8620"|"הסעות ומוסך אחים אדם"|"6"|"מוסך מורשה"|"פנחס החוצב 138 ת ד 10319"|"באר שבע"|"050-8721143"|"84890"|"111"|"תחזוקה ובדיקת מערכת כיבוי אש באוטו'"|"נבארי קמאל"|"026426247"
"8629"|"א.ח.כרמלי (1992)בע מ"|"6"|"מוסך מורשה"|"תוצרת הארץ 1 ת ד 2314"|"באר שבע"|"08-6900949"|"84874"|"20"|"מכונאות רכב דיזל"|"אלעוברה עומר"|"511722019"
"8629"|"א.ח.כרמלי (1992)בע מ"|"6"|"מוסך מורשה"|"תוצרת הארץ 1 ת ד 2314"|"באר שבע"|"08-6900949"|"84874"|"23"|"תיקון אחזקת רכב חשמלי/היברידי"|"אלעוברה עומר"|"511722019"
"8629"|"א.ח.כרמלי (1992)בע מ"|"6"|"מוסך מורשה"|"תוצרת הארץ 1 ת ד 2314"|"באר שבע"|"08-6900949"|"84874"|"70"|"תיקון מרכבי רכב"|"ביליה דוד"|"511722019"
